team1,team2,team1 history points,team2 history points,team1 market value,team2 market value,audience,team1 table position,team2 table position,team1 Rank,team2 Rank,result
Ath Bilbao,Dep. La Coruna,6,1,24.94,6.645,37.715,12,18,158,152,2
Las Palmas,Real Sociedad,-6,1,9.125,23.295,10.531,19,14,154,156,2
Leganes,Celta Vigo,-4,4,5.855,17.305,10.393,15,9,150,156,1
Barcelona,Valencia,11,13,109,39.805,69.544,1,4,170,156,1
Sevilla,Villarreal,-6,1,25.32,22,32.192,7,6,162,160,0
Girona,Betis,-1,13,8.175,13.225,11.286,8,5,142,152,2
Betis,Las Palmas,13,-7,13.225,9.125,45.151,5,19,152,154,1
Levante,Malaga,4,-2,6.185,5.52,17.372,17,20,148,154,1
Alaves,Girona,6,-6,7.48,8.175,18.366,15,8,150,142,2
Real Sociedad,Atl. Madrid,6,6,23.295,71.115,21.404,12,2,156,166,1
Real Madrid,Ath Bilbao,11,-1,95.535,24.94,59.193,3,13,172,158,0
Espanyol,Eibar,-6,-6,9.78,6.005,12.113,16,12,154,152,2
Valencia,Getafe,6,3,39.805,6.56,35.829,4,12,156,144,2
Villarreal,Leganes,1,3,22,5.855,12.556,6,14,160,150,1
Celta Vigo,Barcelona,1,11,17.305,109,20.347,10,1,156,170,0
Dep. La Coruna,Sevilla,5,-1,6.645,25.32,24.374,18,7,152,162,0
Ath Bilbao,Levante,3,5,24.94,6.185,24.587,13,17,158,148,2
Atl. Madrid,Betis,4,13,71.115,13.225,54.594,2,5,166,152,0
Las Palmas,Alaves,-9,3,9.125,7.48,7.143,19,15,154,150,2
Malaga,Real Sociedad,-4,10,5.52,23.295,14.102,20,11,154,156,1
Girona,Espanyol,0,-7,8.175,9.78,12.313,8,17,142,154,2
Celta Vigo,Valencia,3,1,17.305,39.805,17.316,10,4,156,156,0
Eibar,Getafe,0,3,6.005,6.56,4.86,12,9,152,144,2
Leganes,Dep. La Coruna,-4,6,5.855,6.645,10.124,15,18,150,152,0
Sevilla,Real Madrid,1,9,25.32,95.535,38.524,7,3,162,172,1
Barcelona,Villarreal,8,1,109,22,54.743,1,6,170,160,1
Betis,Malaga,11,-2,13.225,5.52,53.163,5,20,152,154,1
Dep. La Coruna,Barcelona,9,11,6.645,109,25.721,18,1,152,170,2
Valencia,Eibar,1,-4,39.805,6.005,40.328,4,12,156,152,0
Alaves,Atl. Madrid,8,3,7.48,71.115,18.944,13,2,150,166,2
Getafe,Girona,8,-4,6.56,8.175,8.011,8,9,144,142,0
Villarreal,Celta Vigo,-1,4,22,17.305,14.135,6,10,160,156,1
Real Madrid,Leganes,1,1,95.535,5.855,59.905,3,15,172,150,1
Real Sociedad,Ath Bilbao,6,-1,23.295,24.94,23.972,12,14,156,158,1
Espanyol,Las Palmas,-2,-9,9.78,9.125,13.589,16,19,154,154,0
Levante,Sevilla,8,4,6.185,25.32,17.24,17,7,148,162,1
Leganes,Levante,-1,8,5.855,6.185,7.832,15,17,150,148,2
Barcelona,Real Madrid,11,6,109,95.535,97.939,1,3,170,172,0
Las Palmas,Getafe,-4,11,9.125,6.56,4.624,19,8,154,144,2
Atl. Madrid,Espanyol,6,1,71.115,9.78,49.834,2,17,166,154,2
